value,name
7.19312,./samples/VirusSign-AllM/virussign.com_4bd1618e9a6d62c23cd5bf5a6799fe40.vir
7.10202,./samples/VirusSign-AllM/virussign.com_2f2aa75cae254f3f549b3d93113caa80.vir
7.06813,./samples/VirusSign-AllM/virussign.com_d60c10709c3587231b320b1a13882860.vir
6.92165,./samples/VirusSign-AllM/virussign.com_31e33f9c8e90e26f1bbde7e19e4fbbd0.vir
6.90255,./samples/VirusSign-AllM/virussign.com_48a51a2642d52329fe65a69d523998e0.vir
6.89615,./samples/VirusSign-AllM/virussign.com_d3e667487fd84ca1c09d413f9c72e5f0.vir
6.89615,./samples/VirusSign-AllM/virussign.com_3ba2819c2a3a8214b3268829c5c4ca80.vir
6.89615,./samples/VirusSign-AllM/virussign.com_503216726cbc61a58d7ce1ab870742d0.vir
6.87984,./samples/VirusSign-AllM/virussign.com_eeb1414e546ca546c6311fbe97e64d80.vir
6.856,./samples/VirusSign-AllM/virussign.com_0e4ab6462cce4ef7fa31fb4ac57c83c0.vir
