value,name
1.88703,./samples/VirusSign-AllM/virussign.com_b2cab570ce7415f439506fe6a0a35380.vir
1.88703,./samples/VirusSign-AllM/virussign.com_a7aee564f6624deecf240f4af9036100.vir
1.88703,./samples/VirusSign-AllM/virussign.com_67d5a6603eef794ddd656c646fdd4f90.vir
1.88703,./samples/VirusSign-AllM/virussign.com_2687828e5e644cfe261461bd5adbdad0.vir
1,./samples/VirusSign-AllM/virussign.com_d7fc1bb0c76159777bccc1f495a845c0.vir
1,./samples/VirusSign-AllM/virussign.com_b647a176f04bc9e0e353f64bb338ca10.vir
1,./samples/VirusSign-AllM/virussign.com_09a36605c17e16cfa26e81d2b25aff90.vir
1,./samples/VirusSign-AllM/virussign.com_ad196de3631ab0086e754d577df736a0.vir
1,./samples/VirusSign-AllM/virussign.com_238c357e81e5b5877938f3b4b5bc4e50.vir
1,./samples/VirusSign-AllM/virussign.com_f46d1d7425be78f1a99e7d8756a22420.vir
