value,name
4.54808,./samples/VirusSign-AllM/virussign.com_3ffcb35ed29bf07dd276ab8d6cb369d0.vir
4.50588,./samples/VirusSign-AllM/virussign.com_98ed9828e54e364295d7779eb611d1a0.vir
4.46673,./samples/VirusSign-AllM/virussign.com_415de9691c416e123660d2fe600a7710.vir
4.46514,./samples/VirusSign-AllM/virussign.com_70032de455f1a9f0a4304b1c20a0ec40.vir
4.45746,./samples/VirusSign-AllM/virussign.com_587063ec63c23ebaabd8b2ad68ee00e0.vir
4.45053,./samples/VirusSign-AllM/virussign.com_0f56d833d4498d86b3937b697f503400.vir
4.44304,./samples/VirusSign-AllM/virussign.com_a226e7555e521f58538fdd8cf1fe4840.vir
4.43292,./samples/VirusSign-AllM/virussign.com_b8c75a2a0f3445c95dcc0c89ac591310.vir
4.43158,./samples/VirusSign-AllM/virussign.com_dcfc08fc4103037c752d2467ec0b3a50.vir
4.42255,./samples/VirusSign-AllM/virussign.com_b03c55161cc5ee617a3c1d8244d37b90.vir
