value,name
7.52184,./samples/VirusSign-AllM/virussign.com_134669b20920689638774244a8775150.vir
7.40806,./samples/VirusSign-AllM/virussign.com_0000ec779f094addde2eac73fe946cc0.vir
7.37603,./samples/VirusSign-AllM/virussign.com_4ef0676f2714fa8c11a6d9f1f20328f0.vir
6.91969,./samples/VirusSign-AllM/virussign.com_76b1443fd73440031b462abbaacdb930.vir
6.90825,./samples/VirusSign-AllM/virussign.com_44d76be8092eadaef83d5c6e7ecdfb70.vir
6.90726,./samples/VirusSign-AllM/virussign.com_b05493cb55f1a1d7397f8dfbfd1ab060.vir
6.90372,./samples/VirusSign-AllM/virussign.com_0bbabd60d187ce652baf99c0d8b5e470.vir
6.6459,./samples/VirusSign-AllM/virussign.com_2e352e8b6c0193f26118b0a7dcfb4860.vir
6.51669,./samples/VirusSign-AllM/virussign.com_15822673e074769eb74ae6af83f97bb0.vir
6.50156,./samples/VirusSign-AllM/virussign.com_8647b7c0111a77863f4577dab1cb1980.vir
