value,name
12.2271,./samples/VirusSign-AllM/virussign.com_59e505df1376d27e96349d3c68617fc0.vir
8.055,./samples/VirusSign-AllM/virussign.com_56eec12b35fda40082b8f77e89aa0e40.vir
7.96944,./samples/VirusSign-AllM/virussign.com_50314c5b584b87752989f696f6c5bf50.vir
7.25523,./samples/VirusSign-AllM/virussign.com_10fa685429a289c536f739a96e7e6060.vir
7.25285,./samples/VirusSign-AllM/virussign.com_b5dd61bcabf36eb6aacdbfff53a59dd0.vir
6.93966,./samples/VirusSign-AllM/virussign.com_587c74d38e717883894636539f7b1000.vir
6.73603,./samples/VirusSign-AllM/virussign.com_87e9ea7e775cbbe1e320bfea93cb2a10.vir
6.69936,./samples/VirusSign-AllM/virussign.com_585cc2abf906b7f6ff4101c8fa98d6e0.vir
6.65982,./samples/VirusSign-AllM/virussign.com_5aa0d27bcb942239ad4cb67dd4ed5960.vir
6.58493,./samples/VirusSign-AllM/virussign.com_82bb1c079f82c4803e5d61bea964d8c0.vir
