value,name
4.54189,./samples/VirusSign-AllM/virussign.com_a0b031f36b436353b5387b97db15fb40.vir
4.52951,./samples/VirusSign-AllM/virussign.com_a0405fd60a96ad6fde0df87b83e7e7c0.vir
4.51992,./samples/VirusSign-AllM/virussign.com_afd30c91073a98fbd39ce4dd1397b380.vir
4.51029,./samples/VirusSign-AllM/virussign.com_b8d275576ed49fee7edbfa5ee01b2fa0.vir
4.50132,./samples/VirusSign-AllM/virussign.com_a5f6f63c5d6caefb3a8a45cec8e5ee70.vir
4.49362,./samples/VirusSign-AllM/virussign.com_a3eb81f6ce778912e92f5d4265e3cb40.vir
4.48246,./samples/VirusSign-AllM/virussign.com_a0579d11c43f4a91ed66d6ce195f7720.vir
4.47558,./samples/VirusSign-AllM/virussign.com_a1ec188247d13842d0e8eaa2bcd56e30.vir
4.4745,./samples/VirusSign-AllM/virussign.com_af1517653eeeea9cc838a221f375d8a0.vir
4.45982,./samples/VirusSign-AllM/virussign.com_a502fa392e7d3a1c669deaf48ad539c0.vir
