value,name
4.53616,./samples/VirusSign-AllM/virussign.com_a36c3fdc5b506e6db75631f5c3827c10.vir
4.49489,./samples/VirusSign-AllM/virussign.com_411a497e4f10d7c19be3ecc6d93eef80.vir
4.47741,./samples/VirusSign-AllM/virussign.com_d7ba82b75015db31cbded17a735e80c0.vir
4.46441,./samples/VirusSign-AllM/virussign.com_ab6cd6f518b8b572a8543437b0e68450.vir
4.46297,./samples/VirusSign-AllM/virussign.com_a205fa2ed09949ba00f1da6f32a105d0.vir
4.43762,./samples/VirusSign-AllM/virussign.com_c0aedb639f0265432d443a3a73ee8440.vir
4.43153,./samples/VirusSign-AllM/virussign.com_90265037f61be59da9c8e4295852cc00.vir
4.423,./samples/VirusSign-AllM/virussign.com_96999e710af5708edd5dadd4d28a7490.vir
4.42067,./samples/VirusSign-AllM/virussign.com_e2b22c806902e32280317a6285f19e80.vir
4.418,./samples/VirusSign-AllM/virussign.com_b6554f195ef29c187c2b2693e9eedff0.vir
