value,name
4.08688,./samples/VirusSign-AllM/virussign.com_1deb50838aa0a0297f03d179106f2e80.vir
4.08101,./samples/VirusSign-AllM/virussign.com_a1ec188247d13842d0e8eaa2bcd56e30.vir
4.08066,./samples/VirusSign-AllM/virussign.com_a38d7d1c92232c94d46b9126b3bded30.vir
4.03766,./samples/VirusSign-AllM/virussign.com_a5f6f63c5d6caefb3a8a45cec8e5ee70.vir
4.03491,./samples/VirusSign-AllM/virussign.com_a0579d11c43f4a91ed66d6ce195f7720.vir
3.98524,./samples/VirusSign-AllM/virussign.com_c7ba8f5f95b67b7b111eedb2e46ca0b0.vir
3.97842,./samples/VirusSign-AllM/virussign.com_24c67d0819277026d3a02c6d41478960.vir
3.97313,./samples/VirusSign-AllM/virussign.com_ccde671b2abe923da39a2e2d870e9e00.vir
3.97118,./samples/VirusSign-AllM/virussign.com_aad4eee5177f73bce0ad36ce58ab3cd0.vir
3.9705,./samples/VirusSign-AllM/virussign.com_1222b9de991a3b8c400e0254be8b4320.vir
