value,name
5.92208,./samples/VirusSign-AllM/virussign.com_451ce9b720b6b87074a3dd06e9b48f70.vir
5.73841,./samples/VirusSign-AllM/virussign.com_a95c9efcea32275746e6f6e9fddd3aa0.vir
5.73773,./samples/VirusSign-AllM/virussign.com_78d0a94e29ec9cbdddd21ff43d2c5d50.vir
5.68582,./samples/VirusSign-AllM/virussign.com_bc0b1e09cfe17e497027c8f9505cf540.vir
5.59265,./samples/VirusSign-AllM/virussign.com_c68a1ecf2942efecfcc6ca2c381cb820.vir
5.54357,./samples/VirusSign-AllM/virussign.com_48a51a2642d52329fe65a69d523998e0.vir
5.51312,./samples/VirusSign-AllM/virussign.com_a5edd8d86c6b58877ada548326fe4a40.vir
5.50714,./samples/VirusSign-AllM/virussign.com_a2ccd9d788821d7e8a64ab512ae33730.vir
5.43661,./samples/VirusSign-AllM/virussign.com_c675ee488cd0483a30ce869bed196810.vir
5.43484,./samples/VirusSign-AllM/virussign.com_b0e5483f8fffd5337ea5449fb27bddd0.vir
