value,name
8.92508,./samples/VirusSign-AllM/virussign.com_7361cfb0d49b95c331a6193efef087e0.vir
8.81639,./samples/VirusSign-AllM/virussign.com_180326a083329008eb958e825601dd70.vir
8.75661,./samples/VirusSign-AllM/virussign.com_a9f608ed224ac7642f8838a59c5d1fc0.vir
8.65046,./samples/VirusSign-AllM/virussign.com_201b3caca2fb381b2ca343ce7b5fcdf0.vir
8.42144,./samples/VirusSign-AllM/virussign.com_49cca887331adcb8e207578291c5db10.vir
8.39622,./samples/VirusSign-AllM/virussign.com_9561950b72d7979208fb295ca9d3bb90.vir
8.37699,./samples/VirusSign-AllM/virussign.com_f493fd75121afa8789da8e95281173b0.vir
8.37699,./samples/VirusSign-AllM/virussign.com_57d1d141f9481e969af6fc3345f92330.vir
8.37477,./samples/VirusSign-AllM/virussign.com_7d668c53969ab5d0febd01859bee2db0.vir
8.32682,./samples/VirusSign-AllM/virussign.com_c8fbafb25807e95219c5a0e1acc904c0.vir
