value,name
8.2663,./samples/VirusSign-AllM/virussign.com_a7999f5e10f5ba093937abbf83e28650.vir
8.24739,./samples/VirusSign-AllM/virussign.com_a3852b1b7cd183b12a6d1dc2ce19d710.vir
8.2219,./samples/VirusSign-AllM/virussign.com_a594f172d599c0f9f70e3aa9640ec2e0.vir
8.21973,./samples/VirusSign-AllM/virussign.com_bde4c8203cee07f5970ee17d6829f310.vir
8.21503,./samples/VirusSign-AllM/virussign.com_a1664d72f533162231bf3a90472f6360.vir
8.18313,./samples/VirusSign-AllM/virussign.com_971b238f0ba0cb7ced5b889b55729a80.vir
8.16665,./samples/VirusSign-AllM/virussign.com_4f99bc4dddf896fe16e693c675ce8c00.vir
8.15303,./samples/VirusSign-AllM/virussign.com_aadf9c6f4a40239d3e6ad36871411e20.vir
8.14244,./samples/VirusSign-AllM/virussign.com_b56e5be83f6967353c66ded47ca652c0.vir
8.13838,./samples/VirusSign-AllM/virussign.com_c076093157c6bf282f208e2f3befa6b0.vir
