value,name
8.68307,./samples/VirusSign-AllM/virussign.com_e56afc5982fcb60cd1beaf85e954ccb0.vir
8.67515,./samples/VirusSign-AllM/virussign.com_38445feff1cb99671afa8f5431081aa0.vir
8.67324,./samples/VirusSign-AllM/virussign.com_27c8e9a3a1aae6c844534a1fe6d1df00.vir
8.66933,./samples/VirusSign-AllM/virussign.com_b2575cd7865b63efd311f62c23bb9a70.vir
8.66933,./samples/VirusSign-AllM/virussign.com_a5acf10f110dc669dc4473527a197d90.vir
8.66913,./samples/VirusSign-AllM/virussign.com_def12f8f7a11b88c0c9e68e948d52190.vir
8.66601,./samples/VirusSign-AllM/virussign.com_bbfdb9eb4db3a0e22d08791486ae1c40.vir
8.64571,./samples/VirusSign-AllM/virussign.com_baccb3231eb67e03c4a82be8e429a230.vir
8.64383,./samples/VirusSign-AllM/virussign.com_9f914c2d7d55f3f512b8c35d8d993260.vir
8.63571,./samples/VirusSign-AllM/virussign.com_b97c3aa444d4bb671f3057e75f5bc7b0.vir
