value,name
3.93607,./samples/VirusSign-AllM/virussign.com_5d1fadcc2ec4d895f458f5e1b8d48810.vir
3.87466,./samples/VirusSign-AllM/virussign.com_72d5a6a922cd3edf7a0138e90e6baf20.vir
3.73989,./samples/VirusSign-AllM/virussign.com_38191206e9e456b858c680a8374eab10.vir
3.73988,./samples/VirusSign-AllM/virussign.com_ad397ff44e01eac42307359816746060.vir
3.46738,./samples/VirusSign-AllM/virussign.com_2ecfa757d9db6faa5dfc6d0c0118dcf0.vir
3.46674,./samples/VirusSign-AllM/virussign.com_26c79fb0e1383668fff204e8424a8040.vir
3.39183,./samples/VirusSign-AllM/virussign.com_2bff2e0fa905df2c01a769830f558ff0.vir
3.38308,./samples/VirusSign-AllM/virussign.com_9c36cb000389ed0783c735c1443aa5a0.vir
3.21419,./samples/VirusSign-AllM/virussign.com_4fa5a129a15cb37070eab5b31cb1ec50.vir
3.15605,./samples/VirusSign-AllM/virussign.com_0eda094271709f4d5a9f19b57c186160.vir
