value,name
8.15019,./samples/VirusSign-AllM/virussign.com_d374223307c2e126740ef093340bd2a0.vir
8.1474,./samples/VirusSign-AllM/virussign.com_a0b462d98149b1935b23db3acc253020.vir
8.14634,./samples/VirusSign-AllM/virussign.com_c65809557039bd80d6e7f03d4ea710d0.vir
8.14506,./samples/VirusSign-AllM/virussign.com_c076093157c6bf282f208e2f3befa6b0.vir
8.14409,./samples/VirusSign-AllM/virussign.com_a0ff3d28f0018521b40f942ce090c7b0.vir
8.13722,./samples/VirusSign-AllM/virussign.com_a5ac99e7366634803f4646794c55ab90.vir
8.13662,./samples/VirusSign-AllM/virussign.com_ac3ce53cd4d3852fec748633c89fbec0.vir
8.13339,./samples/VirusSign-AllM/virussign.com_a0b358f9825fe0821462be0e5be08360.vir
8.12404,./samples/VirusSign-AllM/virussign.com_a230c1f4cf5aadccc7eed1531c615390.vir
8.12058,./samples/VirusSign-AllM/virussign.com_a24064f4d4f641c434e49f492ce82a20.vir
