value,name
9.74524,./samples/VirusSign-AllM/virussign.com_c686c20721f36df0da52594198475770.vir
9.61722,./samples/VirusSign-AllM/virussign.com_19dd2f28f9486c86266a7ca05f69dcc0.vir
9.31969,./samples/VirusSign-AllM/virussign.com_adf07dc50952fadcd95ae720e08586e0.vir
9.21147,./samples/VirusSign-AllM/virussign.com_414aaf0dd096f9da3ff67179ac3a71e0.vir
9.20098,./samples/VirusSign-AllM/virussign.com_be640db0dc67453fb0a993def5121540.vir
9.17247,./samples/VirusSign-AllM/virussign.com_c389057ec893fe56dd82c70a4d6147d0.vir
9.15598,./samples/VirusSign-AllM/virussign.com_813321d434f35883a160a295cda4c110.vir
9.14685,./samples/VirusSign-AllM/virussign.com_a9d53ae466887ef552d632aecd6c6010.vir
9.1128,./samples/VirusSign-AllM/virussign.com_e56afc5982fcb60cd1beaf85e954ccb0.vir
9.08867,./samples/VirusSign-AllM/virussign.com_ac080f155c8d433c0e33f3fe33d18570.vir
