value,name
8.46325,./samples/VirusSign-AllM/virussign.com_4e91263943209d2d412ab054ef4c3460.vir
8.41506,./samples/VirusSign-AllM/virussign.com_a137c8b64ab607daa1918801bea22480.vir
8.38121,./samples/VirusSign-AllM/virussign.com_40446410c8dae25efe97e1531f192aa0.vir
8.35582,./samples/VirusSign-AllM/virussign.com_ba8f3e628c4945fd5551e3ded8160ac0.vir
8.29917,./samples/VirusSign-AllM/virussign.com_8aa74ce8e1f25410bbfafb67531f5ee0.vir
8.29627,./samples/VirusSign-AllM/virussign.com_b9010ae4ba32d1a88530d75c49203bb0.vir
8.29598,./samples/VirusSign-AllM/virussign.com_e44a38d3fda9b9ac9f0c6794169f21b0.vir
8.29197,./samples/VirusSign-AllM/virussign.com_b7db7287b7f4fd6de691d0be2fd767b0.vir
8.28804,./samples/VirusSign-AllM/virussign.com_3cb0010af9123b88adef3c6cffef3550.vir
8.27593,./samples/VirusSign-AllM/virussign.com_b8af14e07aaa44542ed87d7616bfa8e0.vir
