value,name
6.4656,./samples/VirusSign-AllM/virussign.com_6666e62620126d100dcf159e0222a010.vir
6.30979,./samples/VirusSign-AllM/virussign.com_86636978e001b0297387bd36198d5b70.vir
6.2911,./samples/VirusSign-AllM/virussign.com_13db90ea6c33fcb3565783156ea5be90.vir
6.26017,./samples/VirusSign-AllM/virussign.com_8a6b40ce3e253831cabbcd00d61811d0.vir
6.20626,./samples/VirusSign-AllM/virussign.com_d3e667487fd84ca1c09d413f9c72e5f0.vir
6.20626,./samples/VirusSign-AllM/virussign.com_3ba2819c2a3a8214b3268829c5c4ca80.vir
6.20626,./samples/VirusSign-AllM/virussign.com_503216726cbc61a58d7ce1ab870742d0.vir
6.18248,./samples/VirusSign-AllM/virussign.com_205337ae91c7c9dc28f137d29c9adc10.vir
6.104,./samples/VirusSign-AllM/virussign.com_5e81053455c5c53f1175e221157cd000.vir
6.04571,./samples/VirusSign-AllM/virussign.com_af9b57b2f49841e22d74bc442b0e6e70.vir
